DEFB128	ENSG00000185982	ENSP00000335382
CMIP	ENSG00000153815	ENSP00000446100
KRTCAP2	ENSG00000163463	ENSP00000295682
TMEM231	ENSG00000205084	ENSP00000258173
OR6C6	ENSG00000188324	ENSP00000351211
ASCL3	ENSG00000176009	ENSP00000435770
BCS1L	ENSG00000074582	ENSP00000413908
CACNB4	ENSG00000182389	ENSP00000438949
ZNF415	ENSG00000170954	ENSP00000439435
FLOT2	ENSG00000132589	ENSP00000378368
PSMD4	ENSG00000159352	ENSP00000357879
MXD3	ENSG00000213347	ENSP00000401867
ZNF589	ENSG00000164048	ENSP00000346729
B3GNT8	ENSG00000177191	ENSP00000312700
SEMA4C	ENSG00000168758	ENSP00000306844
LRRFIP1	ENSG00000124831	ENSP00000375857
ROPN1B	ENSG00000114547	ENSP00000426271
CREB3L4	ENSG00000143578	ENSP00000357596
HSPA6	ENSG00000173110	ENSP00000310219
IL1RN	ENSG00000136689	ENSP00000259206
ARNTL2	ENSG00000029153	ENSP00000266503
EAF2	ENSG00000145088	ENSP00000273668
LCE2D	ENSG00000187223	ENSP00000357773
TAC4	ENSG00000176358	ENSP00000334042
CSNK1D	ENSG00000141551	ENSP00000324464
CLDN19	ENSG00000164007	ENSP00000296387
HDAC1	ENSG00000116478	ENSP00000362649
USF1	ENSG00000158773	ENSP00000357000
MON1A	ENSG00000164077	ENSP00000296473
SRM	ENSG00000116649	ENSP00000366156
PRLH	ENSG00000071677	ENSP00000165524
CCNT2	ENSG00000082258	ENSP00000264157
OR14K1	ENSG00000153230	ENSP00000283225
LCE3E	ENSG00000185966	ENSP00000357778
SPRR2D	ENSG00000163216	ENSP00000357746
LYST	ENSG00000143669	ENSP00000374443
AKR7A2	ENSG00000053371	ENSP00000235835
ERO1B	ENSG00000086619	ENSP00000346635
	ENSG00000277196	ENSP00000481127
MTCL1	ENSG00000168502	ENSP00000352927
BMP2	ENSG00000125845	ENSP00000368104
ITSN1	ENSG00000205726	ENSP00000370719
NLGN4X	ENSG00000146938	ENSP00000370485
MOSPD2	ENSG00000130150	ENSP00000369860
USP27X	ENSG00000273820	ENSP00000483631
MNAT1	ENSG00000020426	ENSP00000261245
WNT7B	ENSG00000188064	ENSP00000341032
XAGE2	ENSG00000155622	ENSP00000286049
PCDH20	ENSG00000280165	ENSP00000387250
MAGEE1	ENSG00000198934	ENSP00000354912
PIGP	ENSG00000185808	ENSP00000420037
NKX3-2	ENSG00000109705	ENSP00000371875
ZNF718	ENSG00000250312	ENSP00000480556
CDC42BPB	ENSG00000198752	ENSP00000355237
RBM12	ENSG00000244462	ENSP00000363228
EEF1E1	ENSG00000124802	ENSP00000369038
ASPG	ENSG00000166183	ENSP00000450040
U2AF1L5	ENSG00000275895	ENSP00000485022
ANP32B	ENSG00000136938	ENSP00000345848
PCID2	ENSG00000126226	ENSP00000479494
INTS1	ENSG00000164880	ENSP00000385722
CSRP3	ENSG00000129170	ENSP00000431813
PRMT5	ENSG00000100462	ENSP00000319169
MMUT	ENSG00000146085	ENSP00000274813
L3MBTL1	ENSG00000185513	ENSP00000398516
PCNA	ENSG00000132646	ENSP00000368458
ARGLU1	ENSG00000134884	ENSP00000383059
RHNO1	ENSG00000171792	ENSP00000479598
CXXC1	ENSG00000154832	ENSP00000390475
CAMTA2	ENSG00000108509	ENSP00000412886
ARFGAP2	ENSG00000149182	ENSP00000434442
SCD	ENSG00000099194	ENSP00000359380
TNS3	ENSG00000136205	ENSP00000312143
ELOA2	ENSG00000206181	ENSP00000331302
IBTK	ENSG00000005700	ENSP00000305721
MBD1	ENSG00000141644	ENSP00000468785
NRIP2	ENSG00000053702	ENSP00000337501
LDHAL6B	ENSG00000171989	ENSP00000302393
TBC1D20	ENSG00000125875	ENSP00000346139
INIP	ENSG00000148153	ENSP00000363360
TGFB3	ENSG00000119699	ENSP00000238682
CCL15	ENSG00000275718	ENSP00000484078
BCORL1	ENSG00000085185	ENSP00000437775
VPS37A	ENSG00000155975	ENSP00000318629
CCL3L3	ENSG00000276085	ENSP00000480558
CCL3L1	ENSG00000276085	ENSP00000480558
SMARCA5	ENSG00000153147	ENSP00000283131
MAB21L2	ENSG00000181541	ENSP00000324701
THAP2	ENSG00000173451	ENSP00000310796
HTR2A	ENSG00000102468	ENSP00000437737
TRPC5	ENSG00000072315	ENSP00000262839
ZNF395	ENSG00000186918	ENSP00000340494
PPP1R12A	ENSG00000058272	ENSP00000389168
ITGB7	ENSG00000139626	ENSP00000267082
VWA8	ENSG00000102763	ENSP00000368612
RGS11	ENSG00000076344	ENSP00000380876
GPRASP1	ENSG00000198932	ENSP00000445683
ARSH	ENSG00000205667	ENSP00000370522
KRT75	ENSG00000170454	ENSP00000252245
USP15	ENSG00000135655	ENSP00000280377
CYP7B1	ENSG00000172817	ENSP00000310721
FXN	ENSG00000165060	ENSP00000366482
GEN1	ENSG00000178295	ENSP00000318977
P2RY4	ENSG00000186912	ENSP00000363643
NRG4	ENSG00000169752	ENSP00000378367
RBFOX2	ENSG00000100320	ENSP00000413035
HYKK	ENSG00000188266	ENSP00000455459
CATSPERZ	ENSG00000219435	ENSP00000443917
