DEFB128	ENSG00000185982	ENSP00000335382
MAN2B1	ENSG00000104774	ENSP00000395473
GET3	ENSG00000198356	ENSP00000466379
HNRNPA1	ENSG00000135486	ENSP00000341826
PECAM1	ENSG00000261371	ENSP00000457421
PLXDC1	ENSG00000161381	ENSP00000323927
GLRA1	ENSG00000145888	ENSP00000411593
NMNAT2	ENSG00000157064	ENSP00000287713
EIF4E1B	ENSG00000175766	ENSP00000323714
HCST	ENSG00000126264	ENSP00000246551
ANKZF1	ENSG00000163516	ENSP00000321617
EXT2	ENSG00000151348	ENSP00000379032
MMP25	ENSG00000008516	ENSP00000337816
MPZL1	ENSG00000197965	ENSP00000352513
ADRB2	ENSG00000169252	ENSP00000305372
KEAP1	ENSG00000079999	ENSP00000171111
SOX13	ENSG00000143842	ENSP00000356172
NKIRAS1	ENSG00000197885	ENSP00000393785
TCF3	ENSG00000071564	ENSP00000262965
HSP90B1	ENSG00000166598	ENSP00000299767
POM121L2	ENSG00000158553	ENSP00000392726
KDM3B	ENSG00000120733	ENSP00000326563
NSL1	ENSG00000117697	ENSP00000355944
OPTC	ENSG00000188770	ENSP00000356191
CES4A	ENSG00000172824	ENSP00000444052
KCNG4	ENSG00000168418	ENSP00000312129
ABL2	ENSG00000143322	ENSP00000427562
PRKAB2	ENSG00000131791	ENSP00000254101
IRAK3	ENSG00000090376	ENSP00000261233
CLIP1	ENSG00000130779	ENSP00000479322
CPB1	ENSG00000153002	ENSP00000417222
CDK2	ENSG00000123374	ENSP00000266970
ERP29	ENSG00000089248	ENSP00000261735
DNM2	ENSG00000079805	ENSP00000373905
IRGM	ENSG00000237693	ENSP00000428220
ZKSCAN7	ENSG00000196345	ENSP00000273320
DDOST	ENSG00000244038	ENSP00000399457
BRIP1	ENSG00000136492	ENSP00000259008
KCTD15	ENSG00000153885	ENSP00000394390
PTPN23	ENSG00000076201	ENSP00000265562
ZNF135	ENSG00000176293	ENSP00000441410
TRPV1	ENSG00000196689	ENSP00000461007
GIT2	ENSG00000139436	ENSP00000347464
CSAD	ENSG00000139631	ENSP00000267085
CHDH	ENSG00000016391	ENSP00000319851
HECTD3	ENSG00000126107	ENSP00000361245
STK11	ENSG00000118046	ENSP00000324856
ZNF446	ENSG00000083838	ENSP00000472802
ZNF697	ENSG00000143067	ENSP00000396857
PRKAR1A	ENSG00000108946	ENSP00000376475
AGPS	ENSG00000018510	ENSP00000264167
SULT1C2	ENSG00000198203	ENSP00000319622
SYT6	ENSG00000134207	ENSP00000477344
MISP3	ENSG00000141854	ENSP00000269720
FCN3	ENSG00000142748	ENSP00000270879
LGALS8	ENSG00000116977	ENSP00000435460
KCNN1	ENSG00000105642	ENSP00000476519
KLK5	ENSG00000167754	ENSP00000337733
LCE2A	ENSG00000187173	ENSP00000357768
RFPL4A	ENSG00000223638	ENSP00000392936
OSCAR	ENSG00000170909	ENSP00000479089
IL24	ENSG00000162892	ENSP00000375795
MED12L	ENSG00000144893	ENSP00000417235
DEDD	ENSG00000158796	ENSP00000356985
UGT1A5	ENSG00000288705	ENSP00000362513
NFKBIZ	ENSG00000144802	ENSP00000325663
DNAJC19	ENSG00000205981	ENSP00000372005
CR1	ENSG00000203710	ENSP00000356016
ATPAF1	ENSG00000123472	ENSP00000460964
SH2D2A	ENSG00000027869	ENSP00000376123
MPV17	ENSG00000115204	ENSP00000369383
MYOM3	ENSG00000142661	ENSP00000363557
EIF4G3	ENSG00000075151	ENSP00000383274
PKP1	ENSG00000081277	ENSP00000263946
POMGNT1	ENSG00000085998	ENSP00000361060
PSMB4	ENSG00000159377	ENSP00000290541
EDN2	ENSG00000127129	ENSP00000361668
HOOK1	ENSG00000134709	ENSP00000360252
MT-ATP6	ENSG00000198899	ENSP00000354632
HAO1	ENSG00000101323	ENSP00000368066
XRN2	ENSG00000088930	ENSP00000366396
FAM83D	ENSG00000101447	ENSP00000481110
RMC1	ENSG00000141452	ENSP00000269221
REPS2	ENSG00000169891	ENSP00000349824
NUFIP1	ENSG00000083635	ENSP00000368459
PAN3	ENSG00000152520	ENSP00000370345
IDUA	ENSG00000127415	ENSP00000247933
DEFB116	ENSG00000215545	ENSP00000383396
PIGN	ENSG00000197563	ENSP00000350263
U2AF1	ENSG00000160201	ENSP00000291552
WDR1	ENSG00000071127	ENSP00000427687
CITED1	ENSG00000125931	ENSP00000401764
DEFB121	ENSG00000204548	ENSP00000417128
LUZP4	ENSG00000102021	ENSP00000360988
DSG4	ENSG00000175065	ENSP00000352785
SH3GL2	ENSG00000107295	ENSP00000369981
GABRB1	ENSG00000163288	ENSP00000295454
CORIN	ENSG00000145244	ENSP00000273857
POFUT1	ENSG00000101346	ENSP00000364902
ASCC1	ENSG00000138303	ENSP00000339404
RBBP7	ENSG00000102054	ENSP00000369424
GK2	ENSG00000196475	ENSP00000351706
SRPK3	ENSG00000184343	ENSP00000359119
LMX1B	ENSG00000136944	ENSP00000347684
PSMB11	ENSG00000222028	ENSP00000386212
NXPH1	ENSG00000122584	ENSP00000384551
FOXO4	ENSG00000184481	ENSP00000363377
DLG5	ENSG00000151208	ENSP00000361467
MALSU1	ENSG00000156928	ENSP00000419370
TAS2R14	ENSG00000212127	ENSP00000441949
PEMT	ENSG00000133027	ENSP00000255389
SHC4	ENSG00000185634	ENSP00000329668
OR5W2	ENSG00000187612	ENSP00000342448
CDCA5	ENSG00000146670	ENSP00000275517
STK26	ENSG00000134602	ENSP00000377867
EEF1G	ENSG00000254772	ENSP00000331901
DNA2	ENSG00000138346	ENSP00000351185
CRACR2A	ENSG00000130038	ENSP00000409382
CACNG2	ENSG00000166862	ENSP00000300105
SLC2A8	ENSG00000136856	ENSP00000362469
FGF3	ENSG00000186895	ENSP00000334122
WDR7	ENSG00000091157	ENSP00000254442
CBR4	ENSG00000145439	ENSP00000303525
RAB38	ENSG00000123892	ENSP00000243662
PDAP1	ENSG00000106244	ENSP00000222968
AQP5	ENSG00000161798	ENSP00000293599
ARPC1A	ENSG00000241685	ENSP00000262942
NOS2	ENSG00000007171	ENSP00000327251
RNF20	ENSG00000155827	ENSP00000373772
TINF2	ENSG00000092330	ENSP00000267415
UNC93B1	ENSG00000110057	ENSP00000227471
ATP23	ENSG00000166896	ENSP00000300145
SOST	ENSG00000167941	ENSP00000301691
JAK2	ENSG00000096968	ENSP00000371067
FAIM2	ENSG00000135472	ENSP00000321951
LYZ	ENSG00000090382	ENSP00000261267
SC5D	ENSG00000109929	ENSP00000264027
ADAMTS12	ENSG00000151388	ENSP00000422554
RAI14	ENSG00000039560	ENSP00000427123
PLCG1	ENSG00000124181	ENSP00000244007
TRAPPC2	ENSG00000196459	ENSP00000392495
RTEL1	ENSG00000258366	ENSP00000353332
CASKIN1	ENSG00000167971	ENSP00000345436
GREB1	ENSG00000196208	ENSP00000370896
RNF122	ENSG00000133874	ENSP00000256257
MAMLD1	ENSG00000013619	ENSP00000414517
JOSD1	ENSG00000100221	ENSP00000216039
CALML3	ENSG00000178363	ENSP00000315299
ARMC1	ENSG00000104442	ENSP00000276569
MTPN	ENSG00000105887	ENSP00000376800
PAX9	ENSG00000198807	ENSP00000355245
FEZ2	ENSG00000171055	ENSP00000368547
FMR1	ENSG00000102081	ENSP00000359506
GJE1	ENSG00000203733	ENSP00000455469
MAN2A2	ENSG00000196547	ENSP00000452948
OR51B5	ENSG00000167355	ENSP00000300773
WNT7A	ENSG00000154764	ENSP00000285018
RFXANK	ENSG00000064490	ENSP00000305071
SBF1	ENSG00000100241	ENSP00000370196
SRP14	ENSG00000140319	ENSP00000267884
CCL22	ENSG00000102962	ENSP00000219235
PABIR2	ENSG00000156504	ENSP00000419592
NMB	ENSG00000197696	ENSP00000378089
TEX12	ENSG00000150783	ENSP00000280358
PLXNC1	ENSG00000136040	ENSP00000258526
PIWIL3	ENSG00000184571	ENSP00000330031
XYLB	ENSG00000093217	ENSP00000207870
CYP7A1	ENSG00000167910	ENSP00000301645
VIRMA	ENSG00000164944	ENSP00000297591
ADAMTSL1	ENSG00000178031	ENSP00000369921
ZBP1	ENSG00000124256	ENSP00000360215
C6orf226	ENSG00000221821	ENSP00000386146
WTIP	ENSG00000142279	ENSP00000466953
PEX10	ENSG00000157911	ENSP00000288774
SNAI2	ENSG00000019549	ENSP00000380034
C2orf49	ENSG00000135974	ENSP00000258457
PCSK1N	ENSG00000102109	ENSP00000218230
KCND1	ENSG00000102057	ENSP00000218176
PEPD	ENSG00000124299	ENSP00000244137
CTDSPL	ENSG00000144677	ENSP00000273179
H4C1	ENSG00000278637	ENSP00000479106
LYPD5	ENSG00000159871	ENSP00000367185
LY6G6C	ENSG00000204421	ENSP00000364978
CRPPA	ENSG00000214960	ENSP00000385478
ZFPM2	ENSG00000169946	ENSP00000384179
CPT1A	ENSG00000110090	ENSP00000265641
ACBD5	ENSG00000107897	ENSP00000379568
TG	ENSG00000042832	ENSP00000220616
HSPA1B	ENSG00000204388	ENSP00000364801
PPP1R10	ENSG00000204569	ENSP00000365694
UQCRH	ENSG00000173660	ENSP00000309565
FBP1	ENSG00000165140	ENSP00000408025
B4GALNT1	ENSG00000135454	ENSP00000341562
NSMCE2	ENSG00000156831	ENSP00000287437
BMPR1B	ENSG00000138696	ENSP00000401907
CLDND1	ENSG00000080822	ENSP00000421226
GNG10	ENSG00000242616	ENSP00000363411
LRRC45	ENSG00000169683	ENSP00000306760
CROT	ENSG00000005469	ENSP00000413575
H2AZ2	ENSG00000105968	ENSP00000308405
FAM241A	ENSG00000174749	ENSP00000310182
CLIC5	ENSG00000112782	ENSP00000185206
HELQ	ENSG00000163312	ENSP00000295488
SIRT5	ENSG00000124523	ENSP00000476228
HLA-DOB	ENSG00000241106	ENSP00000390020
CLGN	ENSG00000153132	ENSP00000326699
MRPL22	ENSG00000082515	ENSP00000431040
SENP3	ENSG00000161956	ENSP00000314029
WAC	ENSG00000095787	ENSP00000346986
RUVBL1	ENSG00000175792	ENSP00000318297
PAOX	ENSG00000148832	ENSP00000278060
CCDC8	ENSG00000169515	ENSP00000303158
TMEM170A	ENSG00000166822	ENSP00000454404
GABRP	ENSG00000094755	ENSP00000430100
DAB2IP	ENSG00000136848	ENSP00000259371
TRIM69	ENSG00000185880	ENSP00000453177
CAPZA3	ENSG00000177938	ENSP00000326238
PTCH1	ENSG00000185920	ENSP00000332353
VPS28	ENSG00000160948	ENSP00000366565
ITGAM	ENSG00000169896	ENSP00000441691
STARD3NL	ENSG00000010270	ENSP00000009041
RPL10A	ENSG00000198755	ENSP00000363018
CCNC	ENSG00000112237	ENSP00000428982
WEE1	ENSG00000166483	ENSP00000402084
STIM1	ENSG00000167323	ENSP00000478059
UBFD1	ENSG00000103353	ENSP00000379217
ZNF547	ENSG00000152433	ENSP00000282282
MYO1A	ENSG00000166866	ENSP00000393392
ADCYAP1R1	ENSG00000078549	ENSP00000483721
ATP11B	ENSG00000058063	ENSP00000321195
ITPKA	ENSG00000137825	ENSP00000260386
HES7	ENSG00000179111	ENSP00000446205
ANKRD46	ENSG00000186106	ENSP00000429015
ATR	ENSG00000175054	ENSP00000343741
SLC9A3	ENSG00000066230	ENSP00000264938
MYH13	ENSG00000006788	ENSP00000404570
PPFIBP1	ENSG00000110841	ENSP00000314724
ECI2	ENSG00000198721	ENSP00000369461
AFDN	ENSG00000130396	ENSP00000375960
FIGLA	ENSG00000183733	ENSP00000333097
SHH	ENSG00000164690	ENSP00000297261
AP3B2	ENSG00000103723	ENSP00000440984
PTPN22	ENSG00000134242	ENSP00000352833
PTGR2	ENSG00000140043	ENSP00000452280
ZMIZ1	ENSG00000108175	ENSP00000334474
PIWIL2	ENSG00000197181	ENSP00000349208
COX6C	ENSG00000164919	ENSP00000428895
PPP1R2	ENSG00000184203	ENSP00000484580
PLAAT3	ENSG00000176485	ENSP00000320337
TNPO3	ENSG00000064419	ENSP00000265388
SGMS2	ENSG00000164023	ENSP00000378176
HIP1R	ENSG00000130787	ENSP00000253083
LTBR	ENSG00000111321	ENSP00000228918
ATP5F1B	ENSG00000110955	ENSP00000262030
DNHD1	ENSG00000179532	ENSP00000254579
CLINT1	ENSG00000113282	ENSP00000429824
HUS1	ENSG00000136273	ENSP00000258774
PHOSPHO1	ENSG00000173868	ENSP00000406909
DEFB136	ENSG00000205884	ENSP00000371644
ARHGAP18	ENSG00000146376	ENSP00000357131
PANK1	ENSG00000152782	ENSP00000302108
CSN3	ENSG00000171209	ENSP00000304822
DEFA1	ENSG00000206047	ENSP00000372139
PPHLN1	ENSG00000134283	ENSP00000378935
POU2F1	ENSG00000143190	ENSP00000356840
PPP1R16A	ENSG00000160972	ENSP00000292539
ATG9A	ENSG00000198925	ENSP00000386710
SPTY2D1	ENSG00000179119	ENSP00000337991
TAF6	ENSG00000106290	ENSP00000399982
CXCL16	ENSG00000161921	ENSP00000293778
TUBG2	ENSG00000037042	ENSP00000251412
ARHGAP39	ENSG00000147799	ENSP00000366522
NHSL1	ENSG00000135540	ENSP00000394546
CD3E	ENSG00000198851	ENSP00000354566
SHPRH	ENSG00000146414	ENSP00000356475
IRF1	ENSG00000125347	ENSP00000245414
TRIM59	ENSG00000213186	ENSP00000311219
SLC16A3	ENSG00000141526	ENSP00000463978
CES2	ENSG00000172831	ENSP00000317842
ITLN1	ENSG00000179914	ENSP00000323587
BSG	ENSG00000172270	ENSP00000333769
AIM2	ENSG00000163568	ENSP00000357112
VPS25	ENSG00000131475	ENSP00000253794
ECT2	ENSG00000114346	ENSP00000376457
WNT2B	ENSG00000134245	ENSP00000358698
HAX1	ENSG00000143575	ENSP00000329002
CASKIN2	ENSG00000177303	ENSP00000325355
IFITM2	ENSG00000185201	ENSP00000484689
SEPTIN9	ENSG00000184640	ENSP00000391249
APOC2	ENSG00000234906	ENSP00000252490
CIR1	ENSG00000138433	ENSP00000339723
PDK2	ENSG00000005882	ENSP00000420927
NTHL1	ENSG00000065057	ENSP00000219066
FN1	ENSG00000115414	ENSP00000346839
H2AJ	ENSG00000246705	ENSP00000438553
LILRA5	ENSG00000187116	ENSP00000404236
ATCAY	ENSG00000167654	ENSP00000390941
LTF	ENSG00000012223	ENSP00000231751
ZNF681	ENSG00000196172	ENSP00000384000
UROD	ENSG00000126088	ENSP00000246337
DHPS	ENSG00000095059	ENSP00000210060
RAB35	ENSG00000111737	ENSP00000229340
THUMPD3	ENSG00000134077	ENSP00000339532
CHFR	ENSG00000072609	ENSP00000392395
EPN3	ENSG00000049283	ENSP00000268933
DOK1	ENSG00000115325	ENSP00000233668
RGL1	ENSG00000143344	ENSP00000303192
PPIL3	ENSG00000240344	ENSP00000286175
C17orf80	ENSG00000141219	ENSP00000351937
OR14I1	ENSG00000189181	ENSP00000339726
SRGAP3	ENSG00000196220	ENSP00000373347
CWC25	ENSG00000273559	ENSP00000478070
WDR26	ENSG00000162923	ENSP00000408108
NCBP2	ENSG00000114503	ENSP00000326806
DCBLD2	ENSG00000057019	ENSP00000321573
PFN2	ENSG00000070087	ENSP00000239940
CUL3	ENSG00000036257	ENSP00000264414
INAVA	ENSG00000163362	ENSP00000392105
PLPPR4	ENSG00000117600	ENSP00000359204
MAIP1	ENSG00000162972	ENSP00000295079
SPRR2G	ENSG00000159516	ENSP00000357737
CKS1B	ENSG00000173207	ENSP00000311083
ROR1	ENSG00000185483	ENSP00000360120
LRRC41	ENSG00000132128	ENSP00000477792
GNG5	ENSG00000174021	ENSP00000359675
MT-CO2	ENSG00000198712	ENSP00000354876
ZNF343	ENSG00000088876	ENSP00000482819
BPIFB2	ENSG00000078898	ENSP00000170150
TP53INP2	ENSG00000078804	ENSP00000363943
SEMG1	ENSG00000124233	ENSP00000361867
S100B	ENSG00000160307	ENSP00000291700
TXLNG	ENSG00000086712	ENSP00000369465
LIMK2	ENSG00000182541	ENSP00000339916
TSR2	ENSG00000158526	ENSP00000364293
ATP6AP2	ENSG00000182220	ENSP00000367697
TTI1	ENSG00000101407	ENSP00000362547
PIAS2	ENSG00000078043	ENSP00000465676
UFM1	ENSG00000120686	ENSP00000368970
UCHL1	ENSG00000154277	ENSP00000284440
IGSF1	ENSG00000147255	ENSP00000359940
IL15RA	ENSG00000134470	ENSP00000380421
OLFM4	ENSG00000102837	ENSP00000219022
TMPRSS2	ENSG00000184012	ENSP00000381588
SDAD1	ENSG00000198301	ENSP00000348596
SGSM3	ENSG00000100359	ENSP00000248929
CAGE1	ENSG00000164304	ENSP00000425493
ZNF215	ENSG00000149054	ENSP00000278319
NMT2	ENSG00000152465	ENSP00000367407
GRM4	ENSG00000124493	ENSP00000440556
VEGFD	ENSG00000165197	ENSP00000297904
IQCE	ENSG00000106012	ENSP00000480715
CISD2	ENSG00000145354	ENSP00000273986
RRAS2	ENSG00000133818	ENSP00000256196
FARP1	ENSG00000152767	ENSP00000471242
DNAJC24	ENSG00000170946	ENSP00000417548
FMN1	ENSG00000248905	ENSP00000479134
CLEC7A	ENSG00000172243	ENSP00000302569
BCAT1	ENSG00000060982	ENSP00000443459
FBXW4	ENSG00000107829	ENSP00000359149
LAMTOR3	ENSG00000109270	ENSP00000424183
RNASE1	ENSG00000129538	ENSP00000381057
FRAT2	ENSG00000181274	ENSP00000360058
MUC15	ENSG00000169550	ENSP00000416753
VTA1	ENSG00000009844	ENSP00000356602
TPD52L1	ENSG00000111907	ENSP00000434142
SGCZ	ENSG00000185053	ENSP00000371512
LIN28B	ENSG00000187772	ENSP00000344401
FXYD2	ENSG00000137731	ENSP00000292079
MRPL41	ENSG00000182154	ENSP00000360498
TOP3A	ENSG00000177302	ENSP00000442336
PDE1C	ENSG00000154678	ENSP00000379496
ECI1	ENSG00000167969	ENSP00000301729
PES1	ENSG00000100029	ENSP00000346725
ARHGDIG	ENSG00000242173	ENSP00000219409
FNIP2	ENSG00000052795	ENSP00000264433
P4HA3	ENSG00000149380	ENSP00000401749
PLRG1	ENSG00000171566	ENSP00000424417
VAT1	ENSG00000108828	ENSP00000347872
BECN1	ENSG00000126581	ENSP00000355231
GCNT3	ENSG00000140297	ENSP00000379377
RCN2	ENSG00000117906	ENSP00000319739
NDUFAF4	ENSG00000123545	ENSP00000358272
SSNA1	ENSG00000176101	ENSP00000313752
CENPJ	ENSG00000151849	ENSP00000371308
KLHL2	ENSG00000109466	ENSP00000424198
ANKRD1	ENSG00000148677	ENSP00000360762
POLR3E	ENSG00000058600	ENSP00000299853
SLC4A8	ENSG00000050438	ENSP00000405812
BRF2	ENSG00000104221	ENSP00000220659
MKRN1	ENSG00000133606	ENSP00000255977
MAP3K1	ENSG00000095015	ENSP00000382423
MASTL	ENSG00000120539	ENSP00000365107
MCF2	ENSG00000101977	ENSP00000430276
CDH8	ENSG00000150394	ENSP00000462701
TAB3	ENSG00000157625	ENSP00000368215
FBXL3	ENSG00000005812	ENSP00000347834
SGCB	ENSG00000163069	ENSP00000370839
OR56B1	ENSG00000181023	ENSP00000322939
OR10H4	ENSG00000176231	ENSP00000318834
MAP1LC3B2	ENSG00000258102	ENSP00000450524
NAA15	ENSG00000164134	ENSP00000296543
CDH17	ENSG00000079112	ENSP00000027335
MPDZ	ENSG00000107186	ENSP00000439807
PTN	ENSG00000105894	ENSP00000341170
TBPL1	ENSG00000028839	ENSP00000237264
EIF3D	ENSG00000100353	ENSP00000216190
MPHOSPH10	ENSG00000124383	ENSP00000244230
FIG4	ENSG00000112367	ENSP00000230124
MAPK1IP1L	ENSG00000168175	ENSP00000378851
GMPR	ENSG00000137198	ENSP00000259727
DAZAP2	ENSG00000183283	ENSP00000448051
KCMF1	ENSG00000176407	ENSP00000386738
FHIP1B	ENSG00000051009	ENSP00000265978
DCAF13	ENSG00000164934	ENSP00000297579
PAK1	ENSG00000149269	ENSP00000278568
RNF166	ENSG00000158717	ENSP00000326095
SIGMAR1	ENSG00000147955	ENSP00000277010
IRF8	ENSG00000140968	ENSP00000268638
RMND5A	ENSG00000153561	ENSP00000283632
FSTL4	ENSG00000053108	ENSP00000265342
HERPUD2	ENSG00000122557	ENSP00000379390
FBXO32	ENSG00000156804	ENSP00000428205
ZNF497	ENSG00000174586	ENSP00000311183
C5AR2	ENSG00000134830	ENSP00000472620
PGGT1B	ENSG00000164219	ENSP00000404676
CLDN22	ENSG00000177300	ENSP00000318113
UBE2D2	ENSG00000131508	ENSP00000381717
HTR6	ENSG00000158748	ENSP00000289753
PANK3	ENSG00000120137	ENSP00000239231
ZER1	ENSG00000160445	ENSP00000291900
GTF2H2	ENSG00000145736	ENSP00000328901
SDC2	ENSG00000169439	ENSP00000307046
GABRR3	ENSG00000183185	ENSP00000481321
NPFFR1	ENSG00000148734	ENSP00000277942
SPPL2A	ENSG00000138600	ENSP00000261854
TRAPPC2B	ENSG00000256060	ENSP00000469888
DCXR	ENSG00000169738	ENSP00000303356
ITGAV	ENSG00000138448	ENSP00000261023
RASSF7	ENSG00000099849	ENSP00000380713
ZNF548	ENSG00000188785	ENSP00000337555
GFPT2	ENSG00000131459	ENSP00000253778
NSD3	ENSG00000147548	ENSP00000313983
ATP2A1	ENSG00000196296	ENSP00000349595
IFNA5	ENSG00000147873	ENSP00000484479
ENTPD1	ENSG00000138185	ENSP00000360250
KDR	ENSG00000128052	ENSP00000263923
PI4K2B	ENSG00000038210	ENSP00000264864
CC2D2A	ENSG00000048342	ENSP00000403465
RASA1	ENSG00000145715	ENSP00000274376
FERMT3	ENSG00000149781	ENSP00000279227
VWC2L	ENSG00000174453	ENSP00000308976
KRTAP5-2	ENSG00000205867	ENSP00000400041
TRIP6	ENSG00000087077	ENSP00000200457
DDX19A	ENSG00000168872	ENSP00000306117
H2BC17	ENSG00000274641	ENSP00000477527
KARS1	ENSG00000065427	ENSP00000325448
TRIAP1	ENSG00000170855	ENSP00000449795
DDX28	ENSG00000182810	ENSP00000332340
KAT7	ENSG00000136504	ENSP00000259021
RET	ENSG00000165731	ENSP00000347942
TMED9	ENSG00000184840	ENSP00000330945
DOCK8	ENSG00000107099	ENSP00000394888
SNX8	ENSG00000106266	ENSP00000222990
FGF21	ENSG00000105550	ENSP00000471477
HIVEP3	ENSG00000127124	ENSP00000361664
CNTROB	ENSG00000170037	ENSP00000369614
ZYX	ENSG00000159840	ENSP00000324422
SENP1	ENSG00000079387	ENSP00000394791
PPAN	ENSG00000130810	ENSP00000253107
RWDD3	ENSG00000122481	ENSP00000359221
LDHD	ENSG00000166816	ENSP00000300051
CYP2S1	ENSG00000167600	ENSP00000308032
ISG20	ENSG00000172183	ENSP00000306565
EGFR	ENSG00000146648	ENSP00000275493
AP4B1	ENSG00000134262	ENSP00000358582
MUC3A	ENSG00000169894	ENSP00000368771
E2F4	ENSG00000205250	ENSP00000368686
FHOD1	ENSG00000135723	ENSP00000258201
FZD3	ENSG00000104290	ENSP00000437489
TMEM128	ENSG00000132406	ENSP00000372201
OR8B8	ENSG00000197125	ENSP00000330280
KDELR1	ENSG00000105438	ENSP00000329471
SLC17A7	ENSG00000104888	ENSP00000221485
GTF2IRD1	ENSG00000006704	ENSP00000397566
MSI2	ENSG00000153944	ENSP00000284073
SELENBP1	ENSG00000143416	ENSP00000397261
ZNF689	ENSG00000156853	ENSP00000287461
INTS12	ENSG00000138785	ENSP00000415433
NT5E	ENSG00000135318	ENSP00000257770
MMS22L	ENSG00000146263	ENSP00000275053
TENT4B	ENSG00000121274	ENSP00000396995
HEXA	ENSG00000213614	ENSP00000268097
PDE10A	ENSG00000112541	ENSP00000438284
CEACAM8	ENSG00000124469	ENSP00000244336
ELF2	ENSG00000109381	ENSP00000377782
UNC13C	ENSG00000137766	ENSP00000260323
KCNJ2	ENSG00000123700	ENSP00000243457
IDO2	ENSG00000188676	ENSP00000443432
TNFRSF10D	ENSG00000173530	ENSP00000310263
CDHR1	ENSG00000148600	ENSP00000485478
PTH1R	ENSG00000160801	ENSP00000321999
SPARC	ENSG00000113140	ENSP00000231061
UPF1	ENSG00000005007	ENSP00000470142
NADK2	ENSG00000152620	ENSP00000371362
OR4A16	ENSG00000181961	ENSP00000325128
PSMC3IP	ENSG00000131470	ENSP00000377384
TNRC6C	ENSG00000078687	ENSP00000336783
INTS14	ENSG00000138614	ENSP00000408429
WNT5A	ENSG00000114251	ENSP00000264634
ZNRD2	ENSG00000173465	ENSP00000312318
MYL6B	ENSG00000196465	ENSP00000450385
FOLR2	ENSG00000165457	ENSP00000298223
INPPL1	ENSG00000165458	ENSP00000298229
DDX1	ENSG00000079785	ENSP00000370745
YIF1B	ENSG00000167645	ENSP00000343435
ZNF131	ENSG00000172262	ENSP00000421246
CDR2	ENSG00000140743	ENSP00000268383
DCUN1D3	ENSG00000188215	ENSP00000319482
ANAPC13	ENSG00000129055	ENSP00000421842
LILRA6	ENSG00000244482	ENSP00000379651
DNM1L	ENSG00000087470	ENSP00000449089
GRHL1	ENSG00000134317	ENSP00000324693
POU2AF1	ENSG00000110777	ENSP00000376786
CACNG6	ENSG00000130433	ENSP00000252729
ATP2A2	ENSG00000174437	ENSP00000440045
SEPTIN1	ENSG00000180096	ENSP00000324511
ZNF750	ENSG00000141579	ENSP00000269394
CELF1	ENSG00000149187	ENSP00000435926
HNRNPA0	ENSG00000177733	ENSP00000316042
CAPN7	ENSG00000131375	ENSP00000253693
SNTB2	ENSG00000168807	ENSP00000338191
ZNF154	ENSG00000179909	ENSP00000421258
GUCY2C	ENSG00000070019	ENSP00000261170
WBP11	ENSG00000084463	ENSP00000261167
CD33	ENSG00000105383	ENSP00000262262
NISCH	ENSG00000010322	ENSP00000339958
CEP83	ENSG00000173588	ENSP00000380911
OR1G1	ENSG00000183024	ENSP00000331545
BRPF1	ENSG00000156983	ENSP00000373340
KANSL3	ENSG00000114982	ENSP00000396749
KRT81	ENSG00000205426	ENSP00000369349
ACSL3	ENSG00000123983	ENSP00000350012
PIWIL1	ENSG00000125207	ENSP00000245255
INSRR	ENSG00000027644	ENSP00000357178
WNT5B	ENSG00000111186	ENSP00000380379
POLR2D	ENSG00000144231	ENSP00000272645
NDUFS7	ENSG00000115286	ENSP00000233627
MAST3	ENSG00000099308	ENSP00000262811
RHO	ENSG00000163914	ENSP00000296271
HAO2	ENSG00000116882	ENSP00000483507
MCEMP1	ENSG00000183019	ENSP00000329920
ABCG8	ENSG00000143921	ENSP00000272286
NARF	ENSG00000141562	ENSP00000309899
B3GNTL1	ENSG00000175711	ENSP00000319979
KLK8	ENSG00000129455	ENSP00000375682
ACVR1	ENSG00000115170	ENSP00000263640
PLA2G2C	ENSG00000187980	ENSP00000247992
TRAF5	ENSG00000082512	ENSP00000261464
EIF2B4	ENSG00000115211	ENSP00000394869
COQ10B	ENSG00000115520	ENSP00000263960
AMY1C	ENSG00000187733	ENSP00000359096
ACTA1	ENSG00000143632	ENSP00000355645
GPR161	ENSG00000143147	ENSP00000441039
OSCP1	ENSG00000116885	ENSP00000235532
ETV3	ENSG00000117036	ENSP00000357175
ADAM15	ENSG00000143537	ENSP00000349436
METTL13	ENSG00000010165	ENSP00000354920
EMC1	ENSG00000127463	ENSP00000420608
C1orf50	ENSG00000164008	ENSP00000361603
MT-CYB	ENSG00000198727	ENSP00000354554
ANGPT4	ENSG00000101280	ENSP00000371347
DEFB126	ENSG00000125788	ENSP00000371835
CEP76	ENSG00000101624	ENSP00000262127
IL3RA	ENSG00000185291	ENSP00000327890
POMP	ENSG00000132963	ENSP00000370222
MPHOSPH8	ENSG00000196199	ENSP00000355388
PPM1A	ENSG00000100614	ENSP00000327255
PIGG	ENSG00000174227	ENSP00000415203
PIR	ENSG00000087842	ENSP00000369786
SOCS4	ENSG00000180008	ENSP00000378855
AP5M1	ENSG00000053770	ENSP00000261558
LRCH2	ENSG00000130224	ENSP00000325091
TTR	ENSG00000118271	ENSP00000237014
TCF4	ENSG00000196628	ENSP00000381382
TTLL1	ENSG00000100271	ENSP00000266254
