id	name	prior	degree	curv_mean	curv_std
ENSG00000006042	TMEM98	False	16.0	-230.1875	379.10885948992274
ENSG00000006047		False	224.0	-309.4330357142857	205.33147194944883
ENSG00000006059	KRT33A	False	5.0	-442.0	266.9149677331715
ENSG00000006062	MAP3K14	False	123.0	-316.3983739837398	195.36693597472635
ENSG00000006071	ABCC8	False	9.0	-463.55555555555554	631.2666475008112
ENSG00000006116	CACNG3	False	8.0	-432.125	619.1878627484554
ENSG00000006118	TMEM132A	False	108.0	-262.0925925925926	265.09483058782865
ENSG00000006125	AP2B1	False	266.0	-482.4924812030075	383.00705977593225
ENSG00000006128	TAC1	False	6.0	-236.5	214.8912515669263
ENSG00000006194	ZNF263	False	135.0	-308.94814814814816	185.9235732476203
ENSG00000006210	CX3CL1	False	64.0	-145.9375	82.93443852676643
ENSG00000006282		False	44.0	-196.77272727272728	219.74477588540216
ENSG00000006283	CACNA1G	False	4.0	-979.5	1032.3217763856385
ENSG00000006327	TNFRSF12A	False	7.0	-499.2857142857143	454.77143844407135
ENSG00000006377	DLX6	False	23.0	-166.43478260869566	194.14043014338125
ENSG00000006432	MAP3K9	False	9.0	-602.8888888888889	777.5574926145255
ENSG00000006451	RALA	False	85.0	-410.52941176470586	461.1803421206042
ENSG00000006453	BAIAP2L1	False	66.0	-418.93939393939394	311.51851342367
ENSG00000006459	KDM7A	False	2.0	-1363.0	1288.0
ENSG00000006468	ETV1	True	20.0	-275.25	393.70723577297895
ENSG00000006534	ALDH3B1	False	99.0	-272.5353535353535	222.22548895670528
ENSG00000006555		False	1.0	-855.0	0.0
ENSG00000006576		False	15.0	-583.7333333333333	832.0950640134548
ENSG00000006606	CCL26	False	29.0	-140.20689655172413	368.6147768952582
ENSG00000006607	FARP2	False	60.0	-462.4	589.1521365487865
ENSG00000006611	USH1C	False	27.0	-155.96296296296296	114.51685351671604
ENSG00000006625	GGCT	False	30.0	-653.4	696.5692882501592
ENSG00000006634	DBF4	False	22.0	-275.1363636363636	340.9927079271698
ENSG00000006638	TBXA2R	False	58.0	-164.0	121.38155856068371
ENSG00000006652		False	25.0	-488.56	557.9222942310156
ENSG00000006659		False	42.0	-184.26190476190476	130.1755334198166
ENSG00000006695	COX10	False	5.0	-77.4	29.96397837404105
ENSG00000006704	GTF2IRD1	False	76.0	-275.4868421052632	360.1531652761763
ENSG00000006712	PAF1	False	129.0	-441.70542635658916	417.24033196913916
ENSG00000006715	VPS41	False	45.0	-310.1333333333333	527.4337704605406
ENSG00000006740	ARHGAP44	False	34.0	-245.14705882352942	345.14669791203966
ENSG00000006747	SCIN	False	24.0	-507.9166666666667	642.0257599106822
ENSG00000006756	ARSD	False	1.0	-20.0	0.0
ENSG00000006757	PNPLA4	False	9.0	-169.33333333333334	207.59790193758914
ENSG00000006788	MYH13	False	35.0	-268.22857142857146	317.43814567019285
ENSG00000006831	ADIPOR2	False	10.0	-330.2	351.0042164988905
ENSG00000006837		False	34.0	-395.47058823529414	399.774144714246
ENSG00000007001	UPP2	False	7.0	-300.85714285714283	243.37885139453354
ENSG00000007038	PRSS21	False	20.0	-352.1	420.3548382022027
ENSG00000007047	MARK4	False	58.0	-311.01724137931035	280.259146787232
ENSG00000007062	PROM1	False	14.0	-316.64285714285717	265.3279930153451
ENSG00000007080	CCDC124	False	44.0	-557.0454545454545	433.23780759980343
ENSG00000007129		False	69.0	-167.85507246376812	187.39698815595276
ENSG00000007168	PAFAH1B1	False	96.0	-354.4166666666667	436.20402495723135
ENSG00000007171	NOS2	False	150.0	-359.3466666666667	175.94302057452828
ENSG00000007174	DNAH9	False	7.0	-507.7142857142857	501.49140835418234
ENSG00000007202		False	31.0	-480.2258064516129	740.9562570205463
ENSG00000007216		False	15.0	-172.13333333333333	130.12499973316255
ENSG00000007237	GAS7	True	30.0	-265.46666666666664	348.23054942890286
ENSG00000007255	TRAPPC6A	False	51.0	-126.82352941176471	81.01675108377712
ENSG00000007264	MATK	False	29.0	-401.62068965517244	413.1665284865091
ENSG00000007306	CEACAM7	False	4.0	-70.25	57.74242374545772
ENSG00000007312	CD79B	True	106.0	-230.25471698113208	186.6403595112933
