idx	rho	beta	gamma	method	metric	perf
20	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.23
20	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.185
20	0.2	-inf	-inf	RWR w/ GDC	AveP	0.0721590102870325
20	0.2	-inf	-inf	mND	Prec@100	0.21
20	0.2	-inf	-inf	mND	Prec@200	0.185
20	0.2	-inf	-inf	mND	AveP	0.09281661056381257
20	0.2	-inf	-inf	RWR	Prec@100	0.23
20	0.2	-inf	-inf	RWR	Prec@200	0.2
20	0.2	-inf	-inf	RWR	AveP	0.09061966090093082
21	0.2	-inf	-inf	Naive	Prec@100	0.0
21	0.2	-inf	-inf	Naive	Prec@200	0.01
21	0.2	-inf	-inf	Naive	AveP	0.025524386088869443
21	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.21
21	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.185
21	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06932639322560552
21	0.2	-inf	-inf	mND	Prec@100	0.19
21	0.2	-inf	-inf	mND	Prec@200	0.185
21	0.2	-inf	-inf	mND	AveP	0.09083466959618183
21	0.2	-inf	-inf	RWR	Prec@100	0.22
21	0.2	-inf	-inf	RWR	Prec@200	0.2
21	0.2	-inf	-inf	RWR	AveP	0.088085451851738
22	0.2	-inf	-inf	Naive	Prec@100	0.0
22	0.2	-inf	-inf	Naive	Prec@200	0.01
22	0.2	-inf	-inf	Naive	AveP	0.025744353120848665
22	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.19
22	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.15
22	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06669231380539917
22	0.2	-inf	-inf	mND	Prec@100	0.17
22	0.2	-inf	-inf	mND	Prec@200	0.16
22	0.2	-inf	-inf	mND	AveP	0.08793321936299686
22	0.2	-inf	-inf	RWR	Prec@100	0.2
22	0.2	-inf	-inf	RWR	Prec@200	0.18
22	0.2	-inf	-inf	RWR	AveP	0.08639718974506713
23	0.2	-inf	-inf	Naive	Prec@100	0.0
23	0.2	-inf	-inf	Naive	Prec@200	0.01
23	0.2	-inf	-inf	Naive	AveP	0.02586556944371525
23	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.19
23	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.155
23	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06652223617343675
23	0.2	-inf	-inf	mND	Prec@100	0.18
23	0.2	-inf	-inf	mND	Prec@200	0.165
23	0.2	-inf	-inf	mND	AveP	0.08712444865511096
23	0.2	-inf	-inf	RWR	Prec@100	0.2
23	0.2	-inf	-inf	RWR	Prec@200	0.185
23	0.2	-inf	-inf	RWR	AveP	0.08536267923088314
24	0.2	-inf	-inf	Naive	Prec@100	0.0
24	0.2	-inf	-inf	Naive	Prec@200	0.01
24	0.2	-inf	-inf	Naive	AveP	0.025698576060633825
24	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.22
24	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.19
24	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06968622280902859
24	0.2	-inf	-inf	mND	Prec@100	0.2
24	0.2	-inf	-inf	mND	Prec@200	0.175
24	0.2	-inf	-inf	mND	AveP	0.08998551614296237
