idx	rho	beta	gamma	method	metric	perf
10	0.2	-inf	-inf	RWR	Prec@100	0.2
10	0.2	-inf	-inf	RWR	Prec@200	0.16
10	0.2	-inf	-inf	RWR	AveP	0.08167092708695933
11	0.2	-inf	-inf	Naive	Prec@100	0.0
11	0.2	-inf	-inf	Naive	Prec@200	0.0
11	0.2	-inf	-inf	Naive	AveP	0.03744569721724916
11	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.17
11	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.13
11	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06632982523482545
11	0.2	-inf	-inf	mND	Prec@100	0.19
11	0.2	-inf	-inf	mND	Prec@200	0.17
11	0.2	-inf	-inf	mND	AveP	0.09471302069113974
11	0.2	-inf	-inf	RWR	Prec@100	0.22
11	0.2	-inf	-inf	RWR	Prec@200	0.17
11	0.2	-inf	-inf	RWR	AveP	0.08741727391213172
12	0.2	-inf	-inf	Naive	Prec@100	0.0
12	0.2	-inf	-inf	Naive	Prec@200	0.0
12	0.2	-inf	-inf	Naive	AveP	0.03707228536415216
12	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.18
12	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.13
12	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06925278485478611
12	0.2	-inf	-inf	mND	Prec@100	0.19
12	0.2	-inf	-inf	mND	Prec@200	0.18
12	0.2	-inf	-inf	mND	AveP	0.09475566938987426
12	0.2	-inf	-inf	RWR	Prec@100	0.23
12	0.2	-inf	-inf	RWR	Prec@200	0.175
12	0.2	-inf	-inf	RWR	AveP	0.0894157158920911
13	0.2	-inf	-inf	Naive	Prec@100	0.0
13	0.2	-inf	-inf	Naive	Prec@200	0.0
13	0.2	-inf	-inf	Naive	AveP	0.037196876962892665
13	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.16
13	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.125
13	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06575745503050301
13	0.2	-inf	-inf	mND	Prec@100	0.19
13	0.2	-inf	-inf	mND	Prec@200	0.165
13	0.2	-inf	-inf	mND	AveP	0.09198998143963175
13	0.2	-inf	-inf	RWR	Prec@100	0.21
13	0.2	-inf	-inf	RWR	Prec@200	0.165
13	0.2	-inf	-inf	RWR	AveP	0.08570536947946164
14	0.2	-inf	-inf	Naive	Prec@100	0.0
14	0.2	-inf	-inf	Naive	Prec@200	0.0
14	0.2	-inf	-inf	Naive	AveP	0.03728793100796095
14	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.16
14	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.13
14	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06618123000266128
14	0.2	-inf	-inf	mND	Prec@100	0.18
14	0.2	-inf	-inf	mND	Prec@200	0.16
14	0.2	-inf	-inf	mND	AveP	0.08982180112688032
