id	name	uKIN	RWR
ENSP00000199389	EIF2AK1	9.98342871154284e-06	2.3498001243912174e-05
ENSP00000199447	NME8	2.526846608768766e-06	1.1697698846089608e-06
ENSP00000199706	MRPL28	1.9356870377737865e-06	7.294663025462948e-07
ENSP00000199708	HBQ1	2.1737632446125225e-06	8.576285765681855e-07
ENSP00000199764	CEACAM6	1.447943078148611e-06	1.3441061563778727e-06
ENSP00000199814	RBM22	3.2847534554664273e-06	2.4025360781834378e-05
ENSP00000199936	HSD17B2	4.667953732622048e-06	3.339947794253809e-06
ENSP00000200135	ZW10	2.065297163063032e-06	1.9286303644243126e-05
ENSP00000200181	ITGB4	2.5826344361920842e-06	2.9131040076347476e-05
ENSP00000200453	PPP1R15A	3.4983970087680696e-06	2.218529990878603e-05
ENSP00000200457	TRIP6	2.7644541716946274e-06	7.923276556648896e-06
ENSP00000200557	ADAM11	1.2526058717934997e-06	1.00423623143222e-07
ENSP00000200676	CETP	1.8290365057924958e-06	1.5563385851520173e-06
ENSP00000201031	TFAP2C	2.9747683223880355e-06	1.5502332260983048e-05
ENSP00000201586	SULT2B1	3.077748200203732e-06	1.4903542889614162e-06
ENSP00000202017	PDRG1	1.8214938688437831e-06	9.74466698380449e-07
ENSP00000202556	PPP1R13B	1.1057624200244928e-05	2.983332204088134e-05
ENSP00000202677	RALGAPA2	6.081262508932546e-06	8.68086864702861e-06
ENSP00000202816	ESF1	2.77742770564613e-06	1.015738867588252e-06
ENSP00000202967	SIRT4	2.8665490019146306e-06	8.331273287290126e-07
ENSP00000203001	TRMT6	2.1736234844827083e-06	1.8219951956373577e-06
ENSP00000203407	UQCRC1	5.34728826762154e-06	1.9845126246179344e-05
ENSP00000203556	GMIP	5.2908278731077816e-06	9.642462655094804e-06
ENSP00000203629	LAG3	2.252905953184291e-06	1.3502364908474984e-06
ENSP00000203664	OTUB2	2.551832398714258e-06	5.363588549741137e-06
ENSP00000204517	TFAP4	6.05715298430918e-06	5.3788051291666134e-06
ENSP00000204549	PDCD7	3.487437356403236e-06	1.7789605582116597e-05
ENSP00000204604	CHRD	2.047957023409518e-05	7.631957650476976e-05
ENSP00000204615		8.835096178609975e-06	5.1775518480427616e-05
ENSP00000204679	GNPTG	7.435579623432356e-07	8.959006418017245e-08
ENSP00000204726	GOLGA3	1.5847816411084867e-05	7.189906458883841e-05
ENSP00000204961	EFNB1	4.104079611306463e-06	4.9874948778929754e-05
ENSP00000205061	GLG1	1.941669103293198e-06	3.5756386710584437e-07
ENSP00000205143	DLL3	7.329895366322038e-06	1.235356778936438e-05
ENSP00000205402	DLD	5.807941776026551e-06	4.2285165737268405e-05
ENSP00000205636	CMTM6	2.068126072107617e-06	3.815436112873588e-05
ENSP00000205890		2.0497882233876078e-06	2.2268586620449914e-07
ENSP00000205948	APOH	1.699546471487296e-06	1.4996665869210257e-06
ENSP00000206474	HAUS4	3.821899515756336e-06	3.4323804793848585e-05
ENSP00000206513	CEBPE	1.6464411432899537e-05	1.7618428894738585e-05
ENSP00000206542	OSGEP	1.2690820971236554e-06	9.766135005181683e-07
ENSP00000206765	TGM1	2.1230438462645757e-06	1.791061465610856e-06
ENSP00000207549	UNC13D	2.200430341407715e-06	1.8755671419839275e-05
ENSP00000207870	XYLB	1.461769089937927e-06	8.264534578624009e-08
ENSP00000209540	OR1I1	1.1248643166365895e-06	2.673040032168225e-08
ENSP00000209668	ADH1A	6.300236492681882e-06	2.187554407184258e-05
ENSP00000209718	KRT23	7.281780893929478e-07	1.929920825658955e-07
ENSP00000209728	CDC6	2.2376144683326747e-06	4.5668035626420234e-05
ENSP00000209873	AAAS	2.713755329111465e-06	1.9565697028740932e-05
ENSP00000209875	CBX5	3.650259084510565e-06	1.5804305105218525e-05
ENSP00000209884	KLHL20	1.9667095047654225e-06	1.3437207194388442e-05
ENSP00000209929	FMO2	4.18723876220933e-06	4.5910939598748336e-07
