id	prior	degree	curv_mean	curv_std
A4QMR6	False	2.0	-156.0	84.0
A4QMS7	False	4.0	-254.0	118.79183473623092
A4QPB2	False	3.0	-679.3333333333334	409.21903941803856
A4QPH2	False	1.0	-166.0	0.0
A4UCT1	False	1.0	-315.0	0.0
A4UGR9	False	13.0	-362.0769230769231	541.7747845366775
A5A3E0	False	88.0	-350.20454545454544	546.077961448124
A5D6W6	False	1.0	-2736.0	0.0
A5D8T8	False	15.0	-263.1333333333333	210.75668962626602
A5D8V6	False	114.0	-295.7894736842105	399.1611483415402
A5D8V7	False	43.0	-196.46511627906978	160.58039337545034
A5D8W1	False	2.0	-868.0	828.0
A5LHX3	False	5.0	-169.8	131.44793646155122
A5PKU2	False	98.0	-170.71428571428572	107.33516075682692
A5PKW4	False	11.0	-191.54545454545453	368.1630971671421
A5PKX9	False	34.0	-93.32352941176471	74.12974341066808
A5PL33	False	24.0	-152.79166666666666	153.66901096367985
A5PLK6	False	3.0	-124.66666666666667	91.74723731838225
A5PLL1	False	1.0	-766.0	0.0
A5PLL7	False	52.0	-356.5576923076923	440.4738450919182
A5PLN7	False	2.0	-856.0	840.0
A5PLN9	False	21.0	-147.85714285714286	163.8783770025185
A5X5Y0	False	7.0	-86.28571428571429	29.348712727741745
A5Y5A3	False	2.0	-242.5	51.5
A5YKK6	False	183.0	-455.24590163934425	501.2663195736785
A5YM69	False	7.0	-576.0	689.601541264436
A5YM72	False	5.0	-503.4	402.81340593381447
A6BM72	False	5.0	-331.0	209.79132489214135
A6H8Y1	False	25.0	-535.64	683.8767655067688
A6H8Z2	False	24.0	-198.79166666666666	224.95702907567826
A6NC98	False	43.0	-191.5581395348837	112.67576498583588
A6NCE7	False	12.0	-133.25	136.0974681371161
A6NCF5	False	13.0	-341.0	168.94195635005715
A6NCI4	False	1.0	-274.0	0.0
A6NCI8	False	3.0	-414.3333333333333	446.47831849809785
A6NCJ1	False	1.0	-1256.0	0.0
A6NCK2	False	1.0	-765.0	0.0
A6NCL1	False	1.0	-103.0	0.0
A6NCL7	False	3.0	-2096.3333333333335	629.8049080645706
A6NCM1	False	4.0	-601.0	292.8924717366426
A6NCN2	False	4.0	-557.0	395.69116745259805
A6NCQ9	False	1.0	-763.0	0.0
A6NCS4	False	1.0	-298.0	0.0
A6NCS6	False	4.0	-818.75	290.3664710327279
A6NCW0	False	1.0	-765.0	0.0
A6ND01	False	1.0	-17.0	0.0
A6ND36	False	19.0	-594.1052631578947	613.133100921801
A6ND48	False	3.0	-741.6666666666666	848.1636372514183
A6ND91	False	10.0	-258.9	439.7773186511555
A6NDB9	False	9.0	-795.1111111111111	921.3227742333236
A6NDG6	False	12.0	-822.3333333333334	975.3100646575027
A6NDK9	False	1.0	-224.0	0.0
A6NDL7	False	1.0	-222.0	0.0
A6NDP7	False	11.0	-163.8181818181818	73.22669431519205
A6NDR6	False	1.0	-74.0	0.0
A6NDS4	False	9.0	-426.1111111111111	314.2958423893162
A6NDU8	False	8.0	-353.125	606.6876126764087
A6NDV4	False	4.0	-550.5	676.683271553243
A6NDX5	False	1.0	-465.0	0.0
A6NE01	False	3.0	-922.3333333333334	439.1433580152259
A6NE52	False	4.0	-132.25	105.69856905370101
A6NE82	False	1.0	-56.0	0.0
A6NEC2	False	2.0	-334.0	106.0
A6NED2	False	30.0	-145.03333333333333	200.9216237463974
A6NEE1	False	1.0	-178.0	0.0
A6NEK1	False	3.0	-316.0	345.14634577234045
A6NEL2	False	1.0	-330.0	0.0
A6NEM1	False	218.0	-314.348623853211	126.50719790572958
A6NEQ0	False	2.0	-143.5	115.5
A6NER0	False	7.0	-314.14285714285717	229.3590003039082
A6NER3	False	1.0	-144.0	0.0
A6NES4	False	2.0	-321.0	272.0
A6NEW6	False	1.0	-30.0	0.0
A6NFA0	False	1.0	-1396.0	0.0
A6NFD8	False	10.0	-207.2	162.1948211257067
A6NFI3	False	18.0	-546.4444444444445	723.1218755601162
A6NFN3	False	17.0	-410.4117647058824	687.8952603946013
A6NFN9	False	1.0	-2217.0	0.0
A6NFQ2	False	20.0	-73.05	40.803768208340756
A6NFR6	False	9.0	-391.77777777777777	230.1022853610869
A6NFT4	False	1.0	-459.0	0.0
A6NFY4	False	2.0	-1579.5	1215.5
A6NFY7	False	9.0	-505.22222222222223	535.1155177005714
A6NG13	False	1.0	-141.0	0.0
A6NGB9	False	8.0	-293.125	344.6300326074325
A6NGC4	False	3.0	-225.33333333333334	102.79213112987892
A6NGE4	False	2.0	-438.0	344.0
A6NGE7	False	1.0	-350.0	0.0
A6NGG8	False	6.0	-220.5	248.9168201093155
A6NGH7	False	2.0	-1012.0	715.0
A6NGK3	False	1.0	-144.0	0.0
A6NGQ2	False	10.0	-271.4	265.5771827548444
A6NGR9	False	3.0	-840.3333333333334	367.3275861619374
A6NGS2	False	2.0	-74.0	16.0
A6NGU5	False	2.0	-143.5	132.5
A6NH11	False	1.0	-131.0	0.0
A6NH52	False	4.0	-300.25	427.5139617603149
A6NHC0	False	4.0	-173.5	145.2558088339327
A6NHG4	False	5.0	-413.8	468.5319199371586
A6NHJ4	False	4.0	-592.5	417.5317353208017
A6NHL2	False	37.0	-697.7027027027027	632.9072714995616
A6NHN0	False	2.0	-248.0	199.0
A6NHN6	False	2.0	-1162.0	562.0
A6NHP3	False	5.0	-233.6	221.5749083267327
A6NHQ2	False	19.0	-897.6315789473684	657.6713473369759
A6NHQ4	False	22.0	-502.8181818181818	460.2513775954532
A6NHR9	False	77.0	-702.5844155844156	637.3768554481894
A6NHS7	False	1.0	-725.0	0.0
A6NHT5	False	4.0	-857.5	1219.7033450802699
A6NHX0	False	5.0	-17.2	20.759576103572055
A6NHY2	False	1.0	-1726.0	0.0
A6NI15	False	29.0	-111.0	73.83672574651125
A6NI28	False	18.0	-311.8333333333333	612.7966175204008
A6NI47	False	1.0	-1396.0	0.0
A6NI56	False	5.0	-774.4	939.1009743366258
A6NI72	False	1.0	-145.0	0.0
A6NI79	False	25.0	-183.52	143.50055609648348
A6NI86	False	1.0	-230.0	0.0
A6NIE6	False	1.0	-517.0	0.0
A6NIH7	False	17.0	-327.94117647058823	444.3556432816657
A6NIJ9	False	1.0	-14.0	0.0
A6NIM6	False	2.0	-125.5	53.5
A6NIR3	False	3.0	-508.3333333333333	260.25927243594776
A6NIV6	False	3.0	-402.3333333333333	209.8973293991348
