idx	rho	beta	gamma	method	metric	perf
12	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.14
12	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07371557495179007
12	0.2	-inf	-inf	mND	Prec@100	0.2
12	0.2	-inf	-inf	mND	Prec@200	0.145
12	0.2	-inf	-inf	mND	AveP	0.08257105983841793
12	0.2	-inf	-inf	RWR	Prec@100	0.17
12	0.2	-inf	-inf	RWR	Prec@200	0.145
12	0.2	-inf	-inf	RWR	AveP	0.08178118490865319
13	0.2	-inf	-inf	Naive	Prec@100	0.0
13	0.2	-inf	-inf	Naive	Prec@200	0.0
13	0.2	-inf	-inf	Naive	AveP	0.034857133404731185
13	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.2
13	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.16
13	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07706537326416522
13	0.2	-inf	-inf	mND	Prec@100	0.22
13	0.2	-inf	-inf	mND	Prec@200	0.155
13	0.2	-inf	-inf	mND	AveP	0.08581225341409363
13	0.2	-inf	-inf	RWR	Prec@100	0.2
13	0.2	-inf	-inf	RWR	Prec@200	0.16
13	0.2	-inf	-inf	RWR	AveP	0.08611324706797473
14	0.2	-inf	-inf	Naive	Prec@100	0.0
14	0.2	-inf	-inf	Naive	Prec@200	0.0
14	0.2	-inf	-inf	Naive	AveP	0.03558189020353104
14	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.17
14	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.14
14	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07409218025878139
14	0.2	-inf	-inf	mND	Prec@100	0.17
14	0.2	-inf	-inf	mND	Prec@200	0.145
14	0.2	-inf	-inf	mND	AveP	0.08389007490501532
14	0.2	-inf	-inf	RWR	Prec@100	0.16
14	0.2	-inf	-inf	RWR	Prec@200	0.14
14	0.2	-inf	-inf	RWR	AveP	0.08288977346912313
15	0.2	-inf	-inf	Naive	Prec@100	0.0
15	0.2	-inf	-inf	Naive	Prec@200	0.0
15	0.2	-inf	-inf	Naive	AveP	0.035199630991323505
15	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.19
15	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.15
15	0.2	-inf	-inf	RWR w/ GDC	AveP	0.0750081791126899
15	0.2	-inf	-inf	mND	Prec@100	0.2
15	0.2	-inf	-inf	mND	Prec@200	0.14
15	0.2	-inf	-inf	mND	AveP	0.0847380976252908
15	0.2	-inf	-inf	RWR	Prec@100	0.18
15	0.2	-inf	-inf	RWR	Prec@200	0.15
15	0.2	-inf	-inf	RWR	AveP	0.08408742991237822
16	0.2	-inf	-inf	Naive	Prec@100	0.0
16	0.2	-inf	-inf	Naive	Prec@200	0.0
16	0.2	-inf	-inf	Naive	AveP	0.03455449139894551
16	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.21
16	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.165
16	0.2	-inf	-inf	RWR w/ GDC	AveP	0.08015561050870754
16	0.2	-inf	-inf	mND	Prec@100	0.23
16	0.2	-inf	-inf	mND	Prec@200	0.16
16	0.2	-inf	-inf	mND	AveP	0.08868446659442877
16	0.2	-inf	-inf	RWR	Prec@100	0.22
16	0.2	-inf	-inf	RWR	Prec@200	0.165
16	0.2	-inf	-inf	RWR	AveP	0.08932160429053691
17	0.2	-inf	-inf	Naive	Prec@100	0.0
17	0.2	-inf	-inf	Naive	Prec@200	0.0
17	0.2	-inf	-inf	Naive	AveP	0.03479902400172412
17	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.18
17	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.14
17	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07347472327103573
17	0.2	-inf	-inf	mND	Prec@100	0.2
17	0.2	-inf	-inf	mND	Prec@200	0.145
17	0.2	-inf	-inf	mND	AveP	0.08134971832407223
17	0.2	-inf	-inf	RWR	Prec@100	0.18
17	0.2	-inf	-inf	RWR	Prec@200	0.145
17	0.2	-inf	-inf	RWR	AveP	0.08161578498732666
18	0.2	-inf	-inf	Naive	Prec@100	0.0
18	0.2	-inf	-inf	Naive	Prec@200	0.0
18	0.2	-inf	-inf	Naive	AveP	0.03538985900753768
18	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.2
18	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.155
18	0.2	-inf	-inf	RWR w/ GDC	AveP	0.0760309510547286
18	0.2	-inf	-inf	mND	Prec@100	0.21
18	0.2	-inf	-inf	mND	Prec@200	0.155
18	0.2	-inf	-inf	mND	AveP	0.08626447297824091
18	0.2	-inf	-inf	RWR	Prec@100	0.18
18	0.2	-inf	-inf	RWR	Prec@200	0.155
18	0.2	-inf	-inf	RWR	AveP	0.08448641103685905
19	0.2	-inf	-inf	Naive	Prec@100	0.0
19	0.2	-inf	-inf	Naive	Prec@200	0.0
19	0.2	-inf	-inf	Naive	AveP	0.03501842069474721
19	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.15
19	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.125
19	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07120649485007016
19	0.2	-inf	-inf	mND	Prec@100	0.17
19	0.2	-inf	-inf	mND	Prec@200	0.12
19	0.2	-inf	-inf	mND	AveP	0.08056575774363843
19	0.2	-inf	-inf	RWR	Prec@100	0.15
19	0.2	-inf	-inf	RWR	Prec@200	0.13
19	0.2	-inf	-inf	RWR	AveP	0.08007165879265454
20	0.2	-inf	-inf	Naive	Prec@100	0.0
20	0.2	-inf	-inf	Naive	Prec@200	0.0
20	0.2	-inf	-inf	Naive	AveP	0.03423570587413233
20	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.21
20	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.16
20	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07710732556069533
20	0.2	-inf	-inf	mND	Prec@100	0.24
20	0.2	-inf	-inf	mND	Prec@200	0.165
20	0.2	-inf	-inf	mND	AveP	0.08653736258993638
20	0.2	-inf	-inf	RWR	Prec@100	0.22
20	0.2	-inf	-inf	RWR	Prec@200	0.165
20	0.2	-inf	-inf	RWR	AveP	0.0864959553285272
21	0.2	-inf	-inf	Naive	Prec@100	0.0
21	0.2	-inf	-inf	Naive	Prec@200	0.0
21	0.2	-inf	-inf	Naive	AveP	0.0348834606734237
21	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.2
21	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.155
21	0.2	-inf	-inf	RWR w/ GDC	AveP	0.0756897476053322
21	0.2	-inf	-inf	mND	Prec@100	0.22
21	0.2	-inf	-inf	mND	Prec@200	0.155
21	0.2	-inf	-inf	mND	AveP	0.0854300643240232
21	0.2	-inf	-inf	RWR	Prec@100	0.19
21	0.2	-inf	-inf	RWR	Prec@200	0.15
21	0.2	-inf	-inf	RWR	AveP	0.0844717820855321
22	0.2	-inf	-inf	Naive	Prec@100	0.0
22	0.2	-inf	-inf	Naive	Prec@200	0.0
22	0.2	-inf	-inf	Naive	AveP	0.03502828282280716
22	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.19
22	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.14
22	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07854457723875995
22	0.2	-inf	-inf	mND	Prec@100	0.22
22	0.2	-inf	-inf	mND	Prec@200	0.155
22	0.2	-inf	-inf	mND	AveP	0.08804829611699623
