id	name	RWR	RWR + Curv	RWR + Prior(uKIN)	RWR + Prior(uKIN, Curv)	RWR + Prior(uKIN) + Curv	RWR + Prior(uKIN, Curv) + Curv	RWR + Prior(RWR)	RWR + Prior(RWR, Curv)	RWR + Prior(RWR) + Curv	RWR + Prior(RWR, Curv) + Curv
ENSG00000170848	PSG6	0.5337191075663975	0.5536845225831258	0.45944816585235265	0.44143548208371547	0.4689498844415163	0.44840656331721707	0.39285363404499496	0.39288334243411704	0.39288061513622696	0.392911872739884
ENSG00000170852		3.967342935195667	3.982399737232874	3.9081024927580112	3.859100611845626	3.92333185592996	3.8738466901384827	3.146782496898543	3.1577022407402136	3.15854170450414	3.1649157030445254
ENSG00000170854	RIOX2	14.347858886024984	14.692780620551678	14.682499593483028	14.908661455029765	15.072966353007784	15.325048593809099	9.56991416998145	10.008259040979855	9.63911453391845	10.071380017735484
ENSG00000170855	TRIAP1	11.307417853537476	12.274780070573286	10.927566122121457	10.602519947915816	11.865260861510391	11.51142300183101	4.625827094254081	4.724637772237695	4.7294776546264865	4.848305493809704
ENSG00000170871		14.120536651753385	15.066439702679258	13.722643383898092	13.40114399471688	14.627399600417316	14.275595908749697	5.381948757548905	5.480147723554693	5.487771007988811	5.62690154265861
ENSG00000170873	MTSS1	5.378440078280336	5.539384699074768	5.2552897894537	5.159462408579819	5.404251436332282	5.299756070192878	3.7449627677004265	3.7572536042412095	3.762086870701275	3.771728547781583
ENSG00000170876	TMEM43	21.86724590698817	22.489730388561586	21.434941644723523	20.98224269366525	22.058500893301463	21.603027117850697	9.054617397804872	9.174725281050074	9.320675776742265	9.510911298892742
ENSG00000170889	RPS9	33.20099095459384	32.873496980638826	33.45373119080874	33.67517411009016	33.12889979059094	33.35441882708397	24.51460950399298	25.65153758568952	25.891838827138347	26.547716037140233
ENSG00000170890	PLA2G1B	5.351374153045467	5.447361876732256	5.199879564253895	5.1136787855948524	5.2777744426339455	5.181498302295077	4.565230054367778	4.566541975851589	4.566717599749499	4.567785838494268
ENSG00000170892	TSEN34	8.285920310623286	8.426977360094112	8.298120599259043	8.310830529906585	8.448471008391069	8.470593377377277	5.7143992791799585	5.757862176106879	5.775073516325198	5.839247260627197
ENSG00000170893	TRH	1.6009445397587188	1.652687233615086	1.4435711676057013	1.3857955095635273	1.4754622354693288	1.4103861885952897	1.1883506663990637	1.1888086780599556	1.1887997045135892	1.189205993428421
ENSG00000170899	GSTA4	7.052166539717778	7.413644238283214	6.457629833299836	6.147412745740247	6.7435719450526195	6.39413376683055	3.914993564406969	3.9285179558702423	3.9239035975569743	3.938188412974528
ENSG00000170903		4.208916519636992	4.34327390429751	4.084687902906861	4.006451308861999	4.205727752259207	4.119494691863137	3.0176301555762928	3.024593506824726	3.025526960128852	3.031885611859719
