id	RWR	RWR + Curv	RWR + Prior(uKIN)	RWR + Prior(uKIN, Curv)	RWR + Prior(uKIN) + Curv	RWR + Prior(uKIN, Curv) + Curv	RWR + Prior(RWR)	RWR + Prior(RWR, Curv)	RWR + Prior(RWR) + Curv	RWR + Prior(RWR, Curv) + Curv
Q96T49	15.378757474886962	16.265152472350078	15.129755189319036	14.900513976446582	15.999090172108641	15.756300527360596	6.321612429690487	6.465148791052455	6.521820254045692	6.66232370334503
Q96T51	25.314255468103166	26.645602149950303	25.12965542022982	24.919260582903004	26.45787548074831	26.242412356940285	13.642672607009766	13.826437078686038	13.897219880872992	14.221804918744338
Q96T52	65.00911396654743	65.48852189975423	63.84538217848602	62.49791619140118	64.3180560486243	62.99391219795288	22.250073997573967	26.13153625804038	27.189399030326005	29.57387548163214
Q96T54	3.448032026758583	3.477345509134321	3.330853037378655	3.2999386772455943	3.345079495563879	3.3101897636668114	3.226519903053276	3.226565510660998	3.2265884841945134	3.2266353604779114
Q96T55	6.76694742888853	7.483795162363663	6.283174202999356	5.9242311525018625	6.951782422365652	6.555694141004054	0.9991750857592261	1.048698292210211	1.0507192033158983	1.1002652200414693
Q96T58	15.205884116722174	15.52718047468667	19.507442931134868	23.192550748471835	19.946632840761563	23.72583257734382	91.49392682359883	96.2298472910372	98.54706658487122	102.12345311294577
Q96T59	3.8788008258239994	4.207789983975209	3.3411810066611713	3.1149137146678374	3.592123730114435	3.3328027167296774	1.6770493013619454	1.6812589254701091	1.6808697719476597	1.685559131504086
Q96T60	25.767252179332832	26.58435573697739	25.712182606618914	25.610151508282417	26.529870702062105	26.423451509761236	11.93366618100571	12.30662236340835	12.295348502732178	12.673105605246976
Q96T66	5.512910428213134	5.617038797831646	5.338706614261953	5.2175550740902095	5.426370897200493	5.293669476196	4.498086935341963	4.498981654130157	4.499399787105341	4.500030605620385
Q96T67	11.593293399772284	11.627451634303222	11.491858643002914	11.448890519313514	11.515272295640623	11.467759348848173	11.260341860166234	11.261575790054332	11.261761656902696	11.262750243583405
Q96T68	7.325620874219046	7.82954293405038	6.942455307573176	6.694169129944471	7.390987291448166	7.106939620171444	4.112187610282776	4.123893990445472	4.124179012750385	4.136791082810368
Q96T75	12.091537127046104	12.117298414974682	11.861430046099665	11.74046381182423	11.88105968176839	11.75670889015561	11.26223415750242	11.26251031912205	11.263208294079993	11.26326420194001
Q96T76	43.15940469567176	44.87288683652713	44.23219485448836	44.96011436340752	46.01722461756153	46.79442456030405	33.790290087133116	38.738907969499834	38.37819380304654	42.42662329972397
Q96T83	5.9756527735043985	6.1463706564331195	5.600488006751955	5.353015400833235	5.744347782397855	5.4789293535492325	3.9748550875093334	3.9765271201871975	3.9796638085450877	3.9833655402586263
Q96T88	24.80548443788099	25.108220326529683	25.379317286308552	25.89948643162549	25.703453417708737	26.243607441013683	17.321219892989408	18.479642487688622	18.397526450536173	19.297913961342868
Q96T91	9.870574596555786	10.906805117735784	9.27600739012088	8.930256465984597	10.245634571765104	9.861174451268408	2.468017413864765	2.7541780456053035	2.783655575580832	3.186022671417295
Q96T92	1.9918867870711403	2.0086776641937263	1.8028371187293535	1.691067120244435	1.814995656604093	1.6999499135174352	1.2827908905994208	1.283459107388802	1.2829416827144993	1.2832727335594551
Q96TA1	11.111245879732449	11.259867934823683	11.125569319855169	11.114021165775386	11.282949511292054	11.275623391156431	4.622821929104819	4.781800565611869	4.78343211639116	4.8897478801798
Q96TA2	23.03287451888014	23.810256259984083	22.659901574143078	22.207087047817886	23.442450841305114	22.978498595469944	7.667305078475893	7.758026037745956	7.783828453863086	7.925480287116043
Q96TA9	11.44039787523759	11.466939527510915	11.350057605991344	11.327250689377799	11.36366483706816	11.337611573345303	11.256004262087611	11.256075655330779	11.256065491357061	11.256147455704454
Q96TC7	50.165092891351186	52.03151329385594	48.96746018005433	47.6948810853514	50.85313783226016	49.58774176316821	14.828231271576062	16.569491239070086	16.949811506104226	18.720522065771178
Q99062	11.229183431706966	11.854248380842455	17.218664539472957	21.19185233970496	18.426276501088207	22.790933074707375	35.536917527886	39.80733923462965	44.311520301959625	47.03762890251447
Q99075	8.07999457103481	8.418883291394831	8.00544184911707	7.944936514778814	8.33828824632438	8.2718279053798	5.078875212369657	5.144104857993087	5.151433142748847	5.206692702956791
Q99081	27.382394689691978	29.032038966773754	33.63557205030155	38.14316204536826	35.69916264627743	40.50262487370676	120.20254017101499	130.02625283774879	137.10664390453195	143.5766757465521
Q99102	13.629711969334727	13.890038374833647	20.643282733576154	26.036517763713135	21.58548231908388	27.43001483172309	29.964503240675697	32.755654944150294	33.605009774445676	35.26537341749375
Q99217	2.732831608773693	2.8163219012459355	2.0866603506367367	1.9226174101633404	2.1238586757775075	1.9491546798486514	1.4542183750825466	1.4549662797665477	1.4546049576536326	1.4553391409487757
Q99218	2.3267018289499766	2.3523546636665893	2.2251316972107618	2.199266406394854	2.2375795032388566	2.2083511770309676	2.1341617466721146	2.134186807614517	2.1341913583976604	2.1342183115221403
Q99250	7.424066683493616	7.687286343906208	7.258107528297338	7.179892913884063	7.502379873661738	7.41419070537526	5.178625737434449	5.218935134411086	5.229487277660694	5.268519593178655
Q99259	9.444282850080434	9.747791554422479	9.217524519867535	9.012764154743966	9.509043348607054	9.293455768786375	4.4757743431202845	4.528130805332644	4.548028486581478	4.581696884892587
Q99417	18.76815732599381	19.76749973247423	18.64965823415241	18.52307030141631	19.636991417392675	19.499606279529928	7.483864726080968	7.8182250038220005	7.747735317012094	8.115733639238128
Q99418	12.059543066034111	12.98213484344701	12.026173082486327	11.98559661493024	12.950459156541504	12.911727785894604	4.9607387247343375	5.370883242919671	5.450882890327601	5.824732803046339
Q99424	6.16416942600403	6.300961914097598	5.985301904569167	5.887699117511499	6.0977053815697095	5.986872116734264	5.212417559022333	5.2136343261729605	5.213627977181961	5.214926500635034
Q99426	16.05524957847453	16.76767527273728	15.635449512923493	15.269107309892325	16.31499967170059	15.920556432524734	5.620202257980315	5.6366727767541285	5.630614329894768	5.676630921987906
Q99435	14.144506757838295	15.261357736226397	13.942365432172192	13.776695038967508	15.045173042091815	14.869348242286657	5.789747335334677	6.077896465583223	6.198029037521072	6.549679329036977
