id	name	RWR	RWR + Curv	RWR + Prior(uKIN)	RWR + Prior(uKIN, Curv)	RWR + Prior(uKIN) + Curv	RWR + Prior(uKIN, Curv) + Curv	RWR + Prior(RWR)	RWR + Prior(RWR, Curv)	RWR + Prior(RWR) + Curv	RWR + Prior(RWR, Curv) + Curv
ENSP00000257626	GSAP	4.854062040898233	4.803656698739162	4.7516894858413385	4.674250221146872	4.72016876381486	4.656178853794111	4.563665197936435	4.563362269715145	4.5635658930255145	4.563330655829514
ENSP00000257700	RINT1	15.85277348210595	16.36574069231916	15.463152065919598	15.012131451214637	15.991826314016345	15.551360885679728	6.250408993515858	6.33617459568257	6.419438146566748	6.502025159016385
ENSP00000257749	BACH2	5.588884728608539	5.684306337217454	5.108720500282219	4.829593421622021	5.189323999358945	4.8998142242993845	3.649717711636879	3.6595736126453016	3.656607707150748	3.6665551942693195
ENSP00000257770	NT5E	22.86519463759105	23.600002954013632	22.62268746946755	22.361912895904926	23.436895326842144	23.232068688943986	19.650266059794735	20.45102646128238	21.131622009822966	21.882793821637296
ENSP00000257776	MRAP2	6.1974861274635975	6.0499757992572425	6.0926608389168315	6.007920501403078	5.971052536027759	5.906927607739699	5.586424425876287	5.583946740822674	5.58541378531042	5.583450754539812
ENSP00000257787	AKIRIN2	5.452184938339719	5.738440593456216	4.391877140509828	3.94004372778768	4.572491132778309	4.066320566262676	3.0746067489280255	3.077005742611727	3.0770198078634863	3.079797321946092
ENSP00000257789	ORC3	14.39861042780066	15.146702997019029	14.51024247628056	14.573310784507026	15.103988735036822	15.047414718930789	5.944920178321132	5.884181031207983	5.895468624458869	6.029969064403639
ENSP00000257818	LMO2	23.35253852553046	24.07758300109892	43.086805123980376	50.70676980916677	45.080982819814324	53.14456446080778	72.07748989869665	76.69996644606135	80.67784407109194	84.01134970925419
ENSP00000257829	NAT10	17.38737211685359	17.40369550554051	16.938634260148763	16.384498756767655	16.985339898058122	16.457579021049366	9.469034822743144	9.701744811162738	9.696350275988776	9.833919506645126
ENSP00000257860	PRPH	4.506940179976666	4.661014810449092	4.1507788139179995	3.906494084207845	4.269753451369505	3.9985946549234037	3.2216617400146306	3.222536462309742	3.2233436020873047	3.224258815089581
